Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Wind (ft/s),Mean BC (ft),Max BC (ft),Max Cum PRCP (inc)
clean_SS0120_PP040_SM2_BF1_Base,Success,14h 19m 11s,45,,32274.,0.3423,0.44,Dec 30 15:38,Dec 31 05:57,,327.66,20.08,64.73,555323648.0,243496.42,N/A,N/A,N/A,0.62
clean_SS0119_PP105_SM1_BF1_Base,Success,14h 31m 45s,45,,34843.,0.3681,0.47,Dec 30 16:23,Dec 31 06:54,,327.66,17.25,75.4,560894912.0,124610.91,N/A,N/A,N/A,1.41
clean_SS0119_PP014_SM1_BF1_Base,Success,19h 12m 28s,60,,34251.,0.3607,0.30,Dec 30 16:27,Dec 31 11:39,,327.66,15.78,64.69,560894912.0,124417.05,N/A,N/A,N/A,1.95
clean_SS0114_PP017_SM4_BF1_Base,Success,14h 47m 19s,45,,42248.,0.4744,0.36,Dec 30 16:28,Dec 31 07:15,,327.66,13.86,69.93,571679744.0,134611.78,N/A,N/A,N/A,4.14
clean_SS0114_PP287_SM4_BF1_Base,Success,14h 33m 36s,45,,42461.,0.4720,0.31,Dec 30 15:50,Dec 31 06:24,,327.66,28.76,64.65,571679744.0,134897.66,N/A,N/A,N/A,9.42
clean_SS0119_PP247_SM2_BF1_Base,Success,14h 50m 23s,45,,34877.,0.3699,0.41,Dec 30 16:22,Dec 31 07:12,,327.66,10.12,56.25,560894912.0,125141.17,N/A,N/A,N/A,2.44
clean_SS0114_PP380_SM2_BF1_Base,Success,17h 30m 52s,54,,43088.,0.4805,0.34,Dec 30 15:52,Dec 31 09:23,,327.66,25.72,106.39,571679744.0,134190.94,N/A,N/A,N/A,6.63
clean_SS0114_PP058_SM2_BF1_Base,Success,13h 39m 34s,42,,43189.,0.4856,0.43,Dec 30 16:06,Dec 31 05:46,,327.66,30.56,106.39,571679744.0,136933.75,N/A,N/A,N/A,2.82
clean_SS0119_PP477_SM4_BF1_Base,Success,15h 17m 9s,48,,34263.,0.3650,0.38,Dec 30 15:48,Dec 31 07:05,,327.66,79.29,45.77,560894912.0,125027.59,N/A,N/A,N/A,2.81
clean_SS0115_PP059_SM3_BF1_Base,Success,17h 39m 19s,54,,62206.,0.6035,0.16,Dec 30 16:29,Dec 31 10:08,,327.66,14.81,109.94,569548992.0,138854.31,N/A,N/A,N/A,12.47
clean_SS0114_PP339_SM2_BF1_Base,Success,15h 54m 15s,48,,42931.,0.4796,0.39,Dec 30 15:52,Dec 31 07:46,,327.66,22.25,106.37,571679744.0,135676.12,N/A,N/A,N/A,4.61
clean_SS0114_PP172_SM1_BF1_Base,Success,14h 39m 13s,45,,43152.,0.4792,0.43,Dec 30 15:50,Dec 31 06:29,,327.66,17.58,106.39,571679744.0,134934.64,N/A,N/A,N/A,2.8
clean_SS0114_PP096_SM3_BF1_Base,Success,14h 23m 20s,45,,42634.,0.4803,0.37,Dec 30 15:53,Dec 31 06:16,,327.66,10.44,106.38,571679744.0,134252.16,N/A,N/A,N/A,6.32
