Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info
S0113,Success,6h 15m 0s,21,,18697.,0.3184,0.11,Jul 21 02:11,Jul 21 08:26,
S0114,Success,6h 57m 7s,21,,20148.,0.3456,0.16,Jul 21 02:11,Jul 21 09:08,
S0115,Success,9h 45m 12s,30,,32946.,0.4353,2.57,Jul 21 02:19,Jul 21 12:04,
S0116,Success,7h 29m 44s,24,,26012.,0.3589,1.54,Jul 21 02:10,Jul 21 09:40,
S0117,Success,6h 48m 7s,21,,17745.,0.2910,0.11,Jul 21 02:12,Jul 21 09:00,
S0118,Success,8h 34m 29s,27,,22199.,0.2934,2.46,Jul 21 02:15,Jul 21 10:50,
S0119,Success,6h 21m 46s,21,,15188.,0.2810,0.18,Jul 21 02:11,Jul 21 08:33,
S0120,Success,5h 49m 33s,18,,13490.,0.2555,0.07,Jul 21 02:10,Jul 21 07:59,
S0121,Success,8h 42m 33s,27,,80692.,1.140,1.18,Jul 21 02:15,Jul 21 10:57,
S0122,Success,9h 15m 23s,30,,50076.,0.6606,2.41,Jul 21 02:17,Jul 21 11:32,
S0123,Success,8h 32m 34s,27,,73972.,0.9752,2.58,Jul 21 02:16,Jul 21 10:48,
S0124,Success,7h 29m 11s,24,,23435.,0.3513,0.13,Jul 21 02:14,Jul 21 09:43,
S0125,Success,4h 45m 50s,15,,11914.,0.2473,0.18,Jul 21 02:10,Jul 21 06:56,
S0126,Success,6h 57m 57s,21,,12885.,0.1828,1.87,Jul 21 02:10,Jul 21 09:08,
S0127,Success,6h 6m 19s,21,,11827.,0.2092,0.18,Jul 21 02:09,Jul 21 08:16,
S0128,Success,8h 35m 5s,27,,17669.,0.3093,0.11,Jul 21 02:13,Jul 21 10:48,
S0129,Success,8h 31m 57s,27,,24631.,0.4045,4.52,Jul 21 02:12,Jul 21 10:44,
S0130,Success,11h 17m 2s,36,,135529.,1.675,4.95,Jul 21 02:17,Jul 21 13:34,
S0131,Success,11h 32m 3s,36,,124878.,1.639,2.83,Jul 21 02:18,Jul 21 13:50,
S0132,Success,10h 22m 59s,33,,31430.,0.4086,0.20,Jul 21 02:16,Jul 21 12:39,
S0133,Success,6h 39m 24s,21,,19087.,0.3296,0.31,Jul 21 02:30,Jul 21 09:09,
S0134,Success,5h 29m 20s,18,,12268.,0.2402,0.18,Jul 21 02:29,Jul 21 07:59,
S0135,Success,7h 7m 6s,24,,12147.,0.2046,0.22,Jul 21 02:30,Jul 21 09:37,
S0136,Success,7h 40m 51s,24,,17690.,0.2674,0.12,Jul 21 02:34,Jul 21 10:15,
S0137,Success,10h 2m 27s,33,,23975.,0.3156,2.30,Jul 21 02:36,Jul 21 12:39,
S0138,Success,10h 8m 16s,33,,46402.,0.6215,4.18,Jul 21 02:33,Jul 21 12:42,
S0139,Success,6h 25m 55s,21,,16599.,0.2837,4.18,Jul 21 02:30,Jul 21 08:56,
S0140,Success,11h 36m 48s,36,,27373.,0.2927,2.74,Jul 21 02:36,Jul 21 14:12,
S0141,Success,10h 34m 32s,33,,17288.,0.3036,0.18,Jul 21 02:32,Jul 21 13:07,
S0142,Success,10h 49m 40s,33,,16314.,0.2109,1.43,Jul 21 02:31,Jul 21 13:21,
S0143,Success,8h 36m 25s,27,,12573.,0.2181,0.38,Jul 21 02:30,Jul 21 11:06,
S0144,Success,12h 28m 14s,39,,20268.,0.3066,0.10,Jul 21 02:35,Jul 21 15:03,
S0145,Success,9h 49m 5s,30,,19735.,0.2726,6.38,Jul 21 02:33,Jul 21 12:23,
S0146,Success,10h 27m 51s,33,,21769.,0.2883,5.52,Jul 21 02:35,Jul 21 13:03,
S0147,Success,10h 16m 11s,33,,21003.,0.2646,4.56,Jul 21 02:35,Jul 21 12:51,
S0148,Success,11h 55m 31s,36,,25201.,0.3265,2.36,Jul 21 02:38,Jul 21 14:33,
S0149,Success,7h 6m 38s,24,,12985.,0.2052,2.93,Jul 21 02:30,Jul 21 09:37,
S0150,Success,8h 49m 51s,27,,16835.,0.2104,1.77,Jul 21 02:32,Jul 21 11:22,
S0151,Success,4h 11m 20s,15,,8539.,0.1869,0.46,Jul 21 02:29,Jul 21 06:41,
S0152,Success,8h 10m 44s,27,,17562.,0.2661,0.20,Jul 21 02:34,Jul 21 10:44,
S0153,Success,7h 28m 22s,24,,15015.,0.2595,4.34,Jul 21 02:38,Jul 21 10:07,
S0154,Success,11h 18m 6s,36,,24813.,0.3186,3.87,Jul 21 02:44,Jul 21 14:02,
S0155,Success,6h 34m 46s,21,,12803.,0.2222,1.46,Jul 21 02:38,Jul 21 09:13,
S0156,Success,4h 14m 28s,15,,7750.,0.1546,2.08,Jul 21 02:37,Jul 21 06:52,
S0157,Success,6h 55m 15s,21,,11915.,0.1690,2.36,Jul 21 02:38,Jul 21 09:33,
S0158,Success,7h 16m 57s,24,,16001.,0.2703,1.59,Jul 21 02:40,Jul 21 09:57,
S0159,Success,6h 34m 54s,21,,12122.,0.1938,1.06,Jul 21 02:38,Jul 21 09:13,
S0160,Success,10h 31m 45s,33,,23898.,0.3841,3.87,Jul 21 02:34,Jul 21 13:06,
S0161,Success,11h 1m 47s,36,,24718.,0.3594,2.82,Jul 21 02:34,Jul 21 13:36,
S0162,Success,11h 25m 10s,36,,24562.,0.3098,3.31,Jul 21 02:34,Jul 21 13:59,
S0163,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0164,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0165,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0166,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0167,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0168,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0169,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0170,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0171,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0172,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0173,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0174,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0175,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0176,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0177,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0178,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0179,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0180,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0181,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0182,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0183,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0184,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,Maximum iteration location Cell WSEL ERROR ITERATIONS
S0185,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0186,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0187,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0188,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0189,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0190,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0191,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0192,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0417,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0418,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0419,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0420,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0421,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0422,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0423,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0424,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0425,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0426,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0427,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0428,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0429,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0430,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0431,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0432,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0433,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0434,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0435,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0436,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0437,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0438,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0439,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0440,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0441,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0442,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:38,N/A,
S0443,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0444,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0445,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0446,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:41,N/A,
S0447,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0448,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0449,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0450,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0451,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0452,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0453,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:40,N/A,
S0454,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0455,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
S0456,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:36,N/A,
S0457,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0458,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:39,N/A,
S0459,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0460,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:37,N/A,
S0461,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:42,N/A,
S0462,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:35,N/A,
S0463,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:34,N/A,
S0464,Running,N/A,0,,N/A,N/A,N/A,Jul 22 18:33,N/A,
